Vuln,test #,detect,patch,time,,,2 iters test****,detect,patch,time,avg,,<- This trial is included in the paper,,,,,,,Vote Times,,Max/Min
,,,,,,,,,,,,,,,,,,,,9685546,,
,,,,,,,,,,,,,,,,,,,,8539498,,
,,,,,,,,,,,,,,,,,,,,7291661,,
,,,,,,,,,,,,,,,,,,,,9572553,,
,,,,,,,,,,,,,,,,,,,,7967575,,
,,,,,,,,,,,,,,,,,,,,9142468,,
,,,,,,,,,,,,,,,,,,,,8347662,,
,,,,,,,,,,,,,,,,,,,,9453312,,
,,,,,,,,,,,,,,,,,,,,7555847,,
,,,,,,,,,,,,,,,,,,,,9904527,,
,,,,,,,,,,,,,,,,,,,,8327147,,
,,,,,,,,,,,,,,,,,,,,10902671,,
,,,,,,,,,,,,,,,,,,,,10069345,,
,,,,,,,,,,,,,,,,,,,,8431857,,
,,,,,,,,,,,,,,,,,,,,10447636,,
,,,,,,,,,,,,,,,,,,,,8848913,,
